#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GT15	273	FUN_001757-T1	499	7.4e-127	0	272	113	417	0.996337
AA3_2	568	FUN_001760-T1	579	1.7e-148	1	567	7	573	0.996479
AA3	618	FUN_001760-T1	579	3.8e-84	86	402	5	576	0.511327
AA3_3	590	FUN_001760-T1	579	2.9e-53	2	450	8	462	0.759322
GH16_19	174	FUN_001774-T1	472	2.4e-79	6	174	103	270	0.965517
GH16_18	158	FUN_001774-T1	472	2.8e-44	4	158	110	267	0.974684
GH16	189	FUN_001774-T1	472	1.8e-24	7	185	90	264	0.941799
GH16_21	206	FUN_001774-T1	472	3.4e-24	54	193	119	263	0.674757
GH16_20	162	FUN_001774-T1	472	2.9e-18	4	153	109	257	0.919753
GH16_27	138	FUN_001774-T1	472	5e-18	9	133	128	254	0.898551
AA7	458	FUN_001781-T1	608	2.6e-66	12	456	39	493	0.969432
GH79	455	FUN_001808-T1	517	1.8e-62	2	417	39	459	0.912088
GH3	216	FUN_001816-T1	860	8.7e-61	2	215	170	420	0.986111
GH3	216	FUN_001826-T1	706	4.5e-59	2	216	24	238	0.990741
AA14	255	FUN_001848-T1	286	4.3e-80	0	252	17	285	0.988235
GH62	278	FUN_001852-T1	228	6e-101	78	278	4	198	0.719424
GH71	375	FUN_001854-T1	563	2.6e-144	0	374	44	435	0.997333
GH106	824	FUN_001865-T1	1072	3.3e-70	95	769	105	851	0.817961
GH27	229	FUN_001867-T1	750	4.9e-26	7	202	428	669	0.851528
GH31	427	FUN_001874-T1	424	2.8e-57	0	212	96	318	0.496487
GH18	296	FUN_001878-T1	390	1.3e-27	4	291	33	329	0.969595
GT15	273	FUN_001896-T1	451	8.3e-51	1	266	26	344	0.970696
AA3_2	568	FUN_001917-T1	543	2.4e-141	1	329	12	325	0.577465
AA3	618	FUN_001917-T1	543	2.9e-93	86	407	10	540	0.519417
AA3_3	590	FUN_001917-T1	543	1.1e-62	2	323	13	322	0.544068
AA3_1	548	FUN_001917-T1	543	2.2e-48	11	545	8	531	0.974453
AA2	255	FUN_001929-T1	792	5.8e-41	15	115	127	228	0.392157
PL8_4	243	FUN_002025-T1	785	3.1e-89	0	242	386	632	0.995885
PL8	259	FUN_002025-T1	785	2.5e-44	2	256	386	633	0.980695
PL8_3	249	FUN_002025-T1	785	7.9e-42	1	220	385	609	0.879518
GT4	160	FUN_002028-T1	521	1.1e-37	5	160	249	407	0.968750
GH128	224	FUN_002052-T1	319	1.2e-66	3	224	41	281	0.986607
GH16_3	230	FUN_002064-T1	287	3.6e-58	0	230	31	285	1.000000
GH16	189	FUN_002064-T1	287	3.3e-38	1	188	31	284	0.989418
GH16_5	238	FUN_002064-T1	287	4.1e-21	80	238	92	285	0.663866
GT20	475	FUN_002089-T1	874	1e-154	15	473	23	551	0.964211
GT64	248	FUN_002108-T1	364	4.9e-56	0	243	110	357	0.979839
GH5_31	283	FUN_002113-T1	388	1.7e-45	2	282	41	313	0.989399
GH5	275	FUN_002113-T1	388	9.3e-26	33	242	37	319	0.760000
GH5_7	289	FUN_002113-T1	388	9.5e-21	7	255	41	284	0.858131
GT1	382	FUN_002120-T1	1432	6.7e-53	4	378	945	1366	0.979058
GH18	296	FUN_002192-T1	337	4e-54	48	281	22	309	0.787162
CE1	227	FUN_002242-T1	295	4.5e-19	2	191	47	282	0.832599
AA7	458	FUN_002247-T1	512	5.8e-39	10	181	34	213	0.373362
